original;translation
Kierownice;Steering wheels
Kierunkowskazy;Indicators
Klamki;Door handles
Klapki wlewu paliwa;Fuel filler flaps
Klapy;Tailgates and lids
Klapy bagażnika i elementy;Trunk lids and parts
Kolektory ssące;Intake manifolds
Kolektory ssące i elementy;Intake manifolds and parts
Kolektory wydechowe;Exhaust manifolds
Kolumny;Steering columns
Kompresory do kół;Tire compressors
Kompresory i elementy;Compressors and parts
Kompresory klimatyzacji;A/C compressors
Koła zapasowe;Spare wheels
Kratki nawiewu;Air vents
Lampki sufitowe;Dome lights
Lampy przeddnie i elementy;Headlights and parts
Lampy przednie i elementy;Headlights and parts
Lampy tylne i elementy;Tail lights and parts
Liczniki, zegary;Speedometers and gauges
Listwy;Moldings
Listwy i blendy;Moldings and trims
Listwy progowe i nakładki;Sills and covers
Lpg;LPG
Lusterka;Mirrors
Lusterka wewnętrzne;Interior mirrors
Lusterka zewnętrzne;Exterior mirrors
Maski i elementy;Hoods and parts
Mechanizmy wycieraczek;Wiper mechanisms
Mocowanie koła zapasowego;Spare wheel mounts
Moduły i sterowniki;Modules and control units
Mosty;Differentials
Nadkola;Wheel arch liners
Nagrzewnice i elementy;Heaters and parts
Obudowy filtrów powietrza;Air filter housings
Ogrzewacze postojowe;Parking heaters
Ogrzewanie i nagrzewnice;Heating and heaters
Opony i felgi;Tires and rims
Opony letnie;Summer tires
"Opony letnie 13""";"13"" Summer tires"
"Opony letnie 15""";"15"" Summer tires"
"Opony letnie 16""";"16"" Summer tires"
"Opony letnie 17""";"17"" Summer tires"
"Opony letnie 18""";"18"" Summer tires"
"Opony letnie 19""";"19"" Summer tires"
"Opony letnie 20""";"20"" Summer tires"
Opony zimowe;Winter tires
"Opony zimowe 20""";"20"" Winter tires"
Osprzęt i akcesoria;Accessories and equipment
Osłony i zaślepki;Covers and plugs
Osłony przeciwsłoneczne;Sun visors
Osłony silnika;Engine covers
Oświetlenie;Lighting
Panele sterowania, przełączniki;Control panels, switches
Pasy bezpieczeństwa;Seat belts
Pasy przednie;Front panels
Pedały;Pedals
Podszybia;Cowls
Poduszki i miechy;Air springs and bellows
Poduszki powietrzne i elementy;Airbags and parts
Podłokietniki;Armrests
Pompa paliwa;Fuel pumps
Pompy;Pumps
Pompy abs;ABS pumps
Pompy wody;Water pumps
Pompy zawieszenia;Suspension pumps
Pozostałe;Other
Przekładnie;Steering gears
Przepustnice;Throttle bodies
Przepływomierze;Mass air flow sensors
Przewody chłodnicy;Radiator hoses
Przewody i rurki;Hoses and pipes
Przewody powietrza;Air hoses
Przód;Front
Półki tylne;Parcel shelves
Półosie, przeguby;Axle shafts, joints
Ramiona wycieraczek;Wiper arms
Recyrkulacja spalin egr;EGR systems
Reduktory;Reducers
Relingi dachowe;Roof rails
Resory i elementy;Leaf springs and parts
Rolety bagażnika;Trunk covers
Rolety dachu;Roof blinds
Rozdzielacze;Distributors
Rozrząd;Timing belts/chains
Schowki i półki;Glove boxes and shelves
Serwa hamulca;Brake boosters
Silniczki wycieraczek;Wiper motors
Silniki;Engines
Silniki i osprzęt;Engines and accessories
Silniki krokowe;Stepper motors
Siłowniki;Struts
Skrzynie biegów i elementy;Gearboxes and parts
Skrzynie biegów i osprzęt;Gearboxes and accessories
Skrzynki bezpieczników;Fuse boxes
Sondy;Probes
Spoilery;Spoilers
Sprzęgiełka napędu 4x4;4x4 drive clutches
Sprzęgła i elementy;Clutches and parts
Sprzęt audio;Audio equipment
Sprężyny zawieszenia;Suspension springs
Stacyjki i kluczyki;Ignition switches and keys
Szyberdachy;Sunroofs
Szyby;Windows
Szyby przód;Front windows
Szyby tył;Rear windows
Tunele środkowe;Center tunnels
Turbosprężarki i elementy;Turbochargers and parts
Tył;Rear
Uchwyty, wieszaki;Handles, hangers
Układ abs i esp;ABS and ESP systems
Układ chłodzenia silnika;Engine cooling system
Układ czujników parkowania pdc;PDC parking sensor system
Układ elektryczny i zapłon;Electrical system and ignition
Układ elektryczny silnika;Engine electrical system
Układ hamulcowy;Braking system
Układ hydrauliczny;Hydraulic system
Układ kierowniczy;Steering system
Układ klimatyzacji;Air conditioning system
Układ napędowy;Drivetrain system
Układ paliwowy;Fuel system
Układ pneumatyczny;Pneumatic system
Układ podciśnienia;Vacuum system
Układ smarowania;Lubrication system
Układ wentylacji i ogrzewania;Ventilation and heating system
Układ wydechowy;Exhaust system
Układ zawieszenia;Suspension system
Uszczelki;Gaskets
Wahacze i elementy;Control arms and parts
Wały;Shafts
Webasto;Webasto (Parking heater)
Wentylatory chłodnicy i elementy;Radiator fans and parts
Wentylatory chłodnicy klimatyzacji;AC condenser fans
Wiązki przewodów;Wiring harnesses
Wspomaganie kierownicy;Power steering
Wycieraczki i spryskiwacze;Wipers and washers
Wygłuszenia;Soundproofing
Wykładziny;Carpets
Wyposażenie elektryczne;Electrical equipment
Wyposażenie wnętrza;Interior equipment
Wzmocnienie górne;Upper reinforcement
Włączniki  i przełączniki;Switches
Zaciski;Calipers
Zamki;Locks
Zawiasy;Hinges
Zawieszenie silnika;Engine mounts
Zbiorniki;Tanks
Zbiorniki płynu chłodzącego;Coolant expansion tanks
Zderzaki;Bumpers
Zderzaki i elementy przód;Front bumpers and parts
Znaczki, emblematy;Badges, emblems
Zwrotnice;Knuckles
Łożyska i piasty kół;Bearings and hubs
